"","jobID","Formula","Date_day","MD_Amp","MD_Steam","MD_Temp","MD_Temp_PL","MD_Performance","Status"
"1",40317,"553SPF-WD",2019-05-31,363,1029,75.5,88.5,15,"TRUE"
"2",40320,"552SF-WD",2019-05-31,357,1013,76,89,14,"TRUE"
"3",40327,"552S-KN    PIG STR",2019-06-01,350,1069,74,87,16,"TRUE"
"4",40337,"552SF-WD",2019-06-01,340.5,1022.5,73,87,15,"TRUE"
"5",40342,"553LF-WD  PIG GRW",2019-06-01,361,1037,76,89,15,"TRUE"
"6",40360,"552S-KN    PIG STR",2019-06-03,314,1022.5,74,87,15,"TRUE"
"7",40368,"552SF-WD",2019-06-04,324.5,1018.5,74,86,16,"TRUE"
"8",40376,"552SF-WD",2019-06-04,321.5,1018,73,85,16,"TRUE"
"9",40382,"552SF-WD",2019-06-04,297,1027.5,76,84.5,15,"TRUE"
"10",40387,"552S-KN    PIG STR",2019-06-04,303,1025,74,85,15,"TRUE"
"11",40390,"552SF-WD",2019-06-04,296,1019,76,88,14,"TRUE"
"12",40396,"552SF-WD",2019-06-04,342,1056,73,87,16,"TRUE"
"13",40400,"553LFOM-SWD  PIG GRW",2019-06-04,288,1006.5,76,88.5,15,"FALSE"
"14",40402,"552SF-WD",2019-06-04,335.5,1008,73.5,86,15,"TRUE"
"15",40426,"552S-KN    PIG STR",2019-06-05,356,1016,72,86,16,"TRUE"
"16",40431,"552SF-WD",2019-06-05,358,1028,73,89,16,"TRUE"
"17",40446,"566     GEST SOW",2019-06-06,326,1014,74,87,15,"TRUE"
"18",40451,"552S-KN    PIG STR",2019-06-06,350,1019,74,87,15,"TRUE"
"19",40462,"552SF-WD",2019-06-06,356.5,1014.5,70,86,15,"TRUE"
"20",40489,"552SF-WD",2019-06-07,360,1017,69,83.5,16,"TRUE"
"21",40508,"552S-KN    PIG STR",2019-06-08,354,1045,71,85,16,"TRUE"
"22",40595,"553SPF-WD",2019-06-11,362,1077.5,73.5,87.5,14.5,"TRUE"
"23",40598,"552S-KN    PIG STR",2019-06-11,350.5,1021.5,70,88.5,15,"TRUE"
"24",40599,"S2LT    PIG GRW",2019-06-11,304,1021,71,85,15,"TRUE"
"25",40601,"562F   PIG BRD STR",2019-06-11,358,1037.5,69,86,15,"TRUE"
"26",40603,"552SF-WD",2019-06-11,332.5,1045.5,70,86.5,15,"TRUE"
"27",40604,"553LF-WD  PIG GRW",2019-06-11,352.5,1091,70,86,15,"TRUE"
"28",40607,"553L    PIG GRW",2019-06-11,359,1053,69,86,16,"TRUE"
"29",40610,"552S-KN    PIG STR",2019-06-11,350,1038,70,86,16,"TRUE"
"30",40612,"552SF/552SFPL  PIG STR",2019-06-11,358,1122,70,88,16,"TRUE"
